diffNuisances run on fitDiagnosticsTest.root, at 2021-12-13 08:36:43.973077 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2017_TT_SRB15                                -0.34, 0.89     * +0.00, 0.98*       +0.01      +0.001
stat2017_TT_SRB14                                -0.01, 0.97        -0.00, 0.98       -0.01      -0.001
stat2017_TT_SRB12                                -0.29, 0.95        +0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB11                                -0.06, 0.95        +0.00, 0.97       +0.01      +0.001
stat2017_DY_SRB2                                 +1.67, 0.93     * +0.00, 0.99*       -0.01      -0.001
stat2017_DY_SRB12                                -0.76, 0.78     * +0.00, 0.99*       -0.01      -0.001
stat2016_sig_SRB9                                +0.00, 1.00        +0.00, 0.87     *-0.01*      -0.001
stat2016_sig_SRB7                                +0.00, 1.00        +0.00, 0.92       -0.01      -0.001
stat2016_sig_SRB6                                +0.00, 1.00        -0.00, 0.95       -0.01      -0.001
stat2016_sig_SRB3                                +0.00, 1.00        +0.00, 0.88     *-0.01*      -0.001
stat2016_sig_SRB13                               +0.00, 1.00        -0.00, 1.00       +0.01      +0.001
stat2016_sig_SRB12                               +0.00, 1.00        +0.00, 0.94       -0.01      -0.001
stat2016_sig_SRB1                                +0.00, 1.00        +0.00, 0.95       +0.01      +0.001
stat2016_otherSM_SRB5                            +0.16, 1.02        +0.00, 1.00       -0.01      -0.001
stat2016_otherSM_SRB2                            +0.44, 1.02     * -0.00, 1.00*       -0.01      -0.001
stat2016_fake_SRB8                               -0.49, 0.76     * +0.00, 0.89*     *+0.01*      +0.000
stat2016_fake_SRB7                               +0.85, 0.73     * +0.00, 0.90*     *-0.01*      -0.001
stat2016_fake_SRB4                               +2.16, 0.68     ! +0.00, 0.98!       -0.01      -0.001
stat2016_fake_SRB3                               +0.21, 0.85     * +0.00, 0.94*       -0.01      -0.001
stat2016_fake_SRB11                              -0.22, 0.87     * -0.00, 0.83*     *+0.01*      +0.001
stat2016_fake_SRB10                              +0.13, 0.93        +0.00, 0.98       -0.01      -0.001
stat2016_TT_SRB7                                 +0.29, 0.99        +0.00, 0.98       -0.01      -0.000
stat2016_TT_SRB6                                 -0.13, 0.97        -0.00, 0.98       -0.01      -0.001
stat2016_TT_SRB5                                 +0.19, 1.02        +0.00, 0.99       -0.01      -0.001
stat2016_TT_SRB4                                 +0.47, 1.05     * +0.00, 0.99*       -0.01      -0.001
stat2016_TT_SRB15                                -0.04, 0.94        -0.00, 0.94       +0.01      +0.000
stat2016_TT_SRB10                                +0.00, 1.00        +0.00, 1.00       -0.01      -0.000
stat2016_TT_SRB1                                 -0.26, 0.99        +0.00, 0.98       +0.01      +0.001
stat2016_DY_SRB5                                 +0.18, 1.05        +0.00, 1.00       -0.01      -0.001
stat2016_DY_SRB13                                -0.00, 1.00        -0.00, 1.00       +0.01      +0.001
stat2016_DY_SRB10                                +0.04, 1.01        +0.00, 1.00       -0.01      -0.000
stat2016_DY_SRB1                                 -0.51, 0.95     * +0.00, 0.99*       +0.01      +0.001
MuTau_stat18_sig_SRB9                            -0.00, 1.00        -0.00, 0.86     *-0.01*      -0.001
MuTau_stat18_sig_SRB3                            -0.00, 1.00        -0.00, 0.93       -0.01      -0.001
MuTau_stat18_sig_SRB11                           -0.00, 1.00        -0.00, 0.98       +0.01      +0.001
MuTau_stat18_sig_SRB1                            -0.00, 1.00        +0.00, 0.99       +0.01      +0.001
MuTau_stat18_TT_SRB3                             -0.18, 0.98        -0.00, 0.98       -0.01      -0.000
MuTau_stat18_TT_SRB15                            +0.15, 0.99        +0.00, 0.99       -0.01      -0.000
MuTau_stat18_TT_SRB14                            +0.37, 0.99     * -0.00, 0.99*       -0.01      -0.001
MuTau_stat18_TT_SRB11                            +0.05, 0.98        -0.00, 0.97       +0.01      +0.001
MuTau_stat18_ST_SRB6                             -0.11, 1.00        +0.00, 0.99       +0.01      +0.001
MuTau_stat18_ST_SRB2                             +0.05, 1.00        -0.00, 1.00       -0.01      -0.001
MuTau_stat18_ST_SRB14                            +0.20, 1.03        -0.00, 1.00       -0.01      -0.001
MuTau_stat18_ST_SRB10                            +0.09, 1.01        -0.00, 1.00       -0.01      -0.001
MuTau_stat18_OtherSM_SRB6                        -0.06, 1.00        +0.00, 1.00       +0.01      +0.001
MuTau_stat18_OtherSM_SRB3                        -0.24, 0.96        -0.00, 0.98       -0.01      -0.000
MuTau_stat18_OtherSM_SRB14                       +0.12, 1.02        -0.00, 1.00       -0.01      -0.000
MuTau_stat18_Fake_SRB3                           -0.29, 0.95        -0.00, 0.98       -0.01      -0.000
MuTau_stat18_Fake_SRB15                          +0.31, 0.95     * +0.00, 0.98*       -0.01      -0.001
MuTau_stat18_Fake_SRB11                          +0.06, 0.97        -0.00, 0.98       +0.01      +0.001
